energy , counts
-0.98,1
-0.93,1
-0.88,1
-0.83,1
-0.78,1
-0.73,1
-0.68,1
-0.63,1.73
-0.58,2.19
-0.53,2.7
-0.48,3.21
-0.43,4.247
-0.38,8.712
-0.33,15.23
-0.28,25.88
-0.23,43.35
-0.18,68
-0.13,99.39
-0.08,130.98
-0.03,157.88
0.02,168.5
0.07,163.29
0.12,148.4
0.17,127.26
0.22,104.59
0.27,83.45
0.32,65.732
0.37,51.457
0.42,39.688
0.47,31.689
0.52,24.2
0.57,19.156
0.62,15.18
0.67,11.87
0.72,10
0.77,7.948
0.82,6.827
0.87,5.5
0.92,4.43
0.97,3.46
1.02,2.7
1.07,2.7
1.12,2.29
1.17,2.29
1.22,1.83
1.27,1.83
1.32,1.27
1.37,1.27
1.42,1.27
1.47,1.27
