Delta z (mu m),Resolution
-9.0,7.9e-09
-8.0,7.5e-09
-7.0,7e-09
-6.0,6.3e-09
-5.0,5.9e-09
-4.0,5.4e-09
-3.5,5e-09
-3.20833,4.8e-09
-2.91667,4.6e-09
-2.625,4.3e-09
-2.33333,4.1e-09
-2.04167,3.9e-09
-1.75,3.6e-09
-1.45833,3.4e-09
-1.16667,3.1e-09
-0.875,2.7e-09
-0.58333,2.3e-09
-0.29167,2.1e-09
-0.0,1.9e-09
0.29167,1.8e-09
0.58333,1.7e-09
0.875,1.8e-09
1.16667,1.9e-09
1.45833,2.1e-09
1.75,2.4e-09
2.04167,2.8e-09
2.33333,3.4e-09
2.625,3.8e-09
2.91667,4.2e-09
3.20833,4.4e-09
3.5,4.6e-09
4.0,5.1e-09
5.0,6.1e-09
6.0,6.6e-09
7.0,6.8e-09
8.0,7.3e-09
9.0,7.9e-09
10.0,8.3e-09
