Delta z (mu m),Resolution
-9.0,6.787109375
-8.0,6.396484375
-7.0,5.95703125
-6.0,5.517578125
-5.0,5.029296875
-4.0,4.541015625
-3.5,4.19921875
-3.20833,4.052734375
-2.91667,3.857421875
-2.625,3.662109375
-2.33333,3.369140625
-2.04167,3.173828125
-1.75,2.978515625
-1.45833,2.685546875
-1.16667,2.490234375
-0.875,2.099609375
-0.58333,1.708984375
-0.29167,1.220703125
-0.0,0.537109375
0.29167,1.123046875
0.58333,1.806640625
0.875,2.099609375
1.16667,2.392578125
1.45833,2.734375
1.75,2.978515625
2.04167,3.271484375
2.33333,3.466796875
2.625,3.662109375
2.91667,3.857421875
3.20833,4.052734375
3.5,4.19921875
4.0,4.541015625
5.0,5.029296875
6.0,5.517578125
7.0,5.95703125
8.0,6.396484375
9.0,6.787109375
10.0,7.080078125
