Aperture angle (mrad),Resolution (nm)

0.0005,7.653808593750001

0.000603448275862069,6.079101562500001

0.000706896551724138,5.21240234375

0.0008103448275862069,4.5654296875

0.0009137931034482759,4.06494140625

0.0010172413793103447,3.67431640625

0.0011206896551724137,3.3447265625000004

0.0012241379310344827,3.08837890625

0.0013275862068965517,2.8198242187500004

0.0014310344827586207,2.6367187500000004

0.0015344827586206897,2.490234375

0.0016379310344827587,2.3681640625

0.0017413793103448275,2.2583007812500004

0.0018448275862068964,2.1728515625

0.0019482758620689654,2.099609375

0.002051724137931034,2.01416015625

0.0021551724137931034,1.9531250000000002

0.0022586206896551726,1.9165039062500002

0.0023620689655172414,1.8676757812500002

0.00246551724137931,1.8310546875000002

0.0025689655172413794,1.806640625

0.002672413793103448,1.806640625

0.0027758620689655174,1.7822265625

0.002879310344827586,1.77001953125

0.002982758620689655,1.77001953125

0.003086206896551724,1.7822265625

0.003189655172413793,1.806640625

0.003293103448275862,1.806640625

0.003396551724137931,1.8310546875000002

0.0035,1.8310546875000002

0.004,1.81884765625

0.006,1.806640625

