E_0 (eV),resolution (nm)
0.1,3.0151367188
0.2,2.8564453125
0.3,2.783203125
0.4,2.734375
0.5,2.685546875
0.6,2.6489257812
0.7,2.6245117188
0.8,2.6000976563
0.9,2.5756835938
1.0,2.5634765625
1.0,2.5634765625
2.0,2.44140625
3.0,2.3803710938
4.0,2.34375
5.0,2.3193359375
6.0,2.3071289062
7.0,2.2705078125
8.0,2.2705078125
9.0,2.2583007813
10.0,2.2338867188
10.0,2.2338867188
12.308,2.2094726562
14.615,2.197265625
16.923,2.1850585938
19.231,2.1728515625
21.538,2.1606445313
23.846,2.1606445313
26.154,2.1362304688
28.462,2.1362304688
30.769,2.1362304688
33.077,2.1240234375
35.385,2.1240234375
37.692,2.1118164063
40.0,2.1118164063
42.308,2.099609375
44.615,2.099609375
46.923,2.0874023438
49.231,2.0874023438
51.538,2.0874023438
53.846,2.0874023438
56.154,2.0874023438
58.462,2.0874023438
60.769,2.0874023438
63.077,2.0751953125
65.385,2.0751953125
67.692,2.0629882812
70.0,2.0751953125
72.308,2.0751953125
74.615,2.0751953125
76.923,2.05078125
79.231,2.05078125
81.538,2.05078125
83.846,2.05078125
86.154,2.05078125
88.462,2.05078125
90.769,2.05078125
93.077,2.05078125
95.385,2.05078125
97.692,2.05078125
100.0,2.05078125
