Energy (eV),counts
-6.38,0.016
-6.36,0.016
-6.34,0.016
-6.32,0.016
-6.3,0.016
-6.27,0.016
-6.24,0.0178
-6.21,0.0196
-6.185,0.0215
-6.1558,0.0233
-6.1302,0.0251
-6.101,0.0324
-6.0754,0.0379
-6.0498,0.0452
-6.0242,0.0525
-5.9986,0.0617
-5.9767,0.0708
-5.9547,0.0781
-5.9328,0.0927
-5.8981,0.1147
-5.8743,0.1293
-5.8524,0.1512
-5.8304,0.1713
-5.814,0.1878
-5.7902,0.2134
-5.7756,0.2317
-5.7628,0.2518
-5.7464,0.2737
-5.7317,0.2975
-5.7171,0.3194
-5.6988,0.3487
-5.6842,0.3724
-5.6732,0.398
-5.6605,0.4218
-5.6477,0.4455
-5.6367,0.4711
-5.6257,0.4967
-5.6166,0.5168
-5.6166,0.5168
-5.6074,0.5388
-5.5983,0.5625
-5.591,0.5845
-5.5818,0.6082
-5.5727,0.6302
-5.5617,0.6557
-5.5508,0.6832
-5.5416,0.7069
-5.5343,0.7343
-5.5252,0.7599
-5.5179,0.7837
-5.5087,0.8166
-5.4978,0.8385
-5.4905,0.8586
-5.4831,0.8824
-5.4758,0.9062
-5.4685,0.9245
-5.463,0.9427
-5.4575,0.961
-5.4466,0.9811
-5.4429,0.9957
-5.4283,1
-5.4155,0.9866
-5.4064,0.961
-5.3972,0.9299
-5.3863,0.8714
-5.3826,0.8276
-5.3771,0.7837
-5.3716,0.7289
-5.3607,0.6704
-5.3552,0.5973
-5.346,0.5186
-5.3387,0.4437
-5.3314,0.3779
-5.3168,0.2902
-5.3,0.2
-5.2912,0.1586
-5.2821,0.1275
-5.2693,0.1
-5.2565,0.069
-5.24,0.0544
-5.2217,0.0434
-5.2035,0.0324
-5.1834,0.0251
-5.1614,0.0233
-5.1395,0.0178
-5.1176,0.0141
-5.0828,0.0105
-5.0572,0.0087
-5.028,0.0087
-4.9823,0.0068
-4.9439,0.0068
-4.9165,0.0068
-4.8726,0.0005
-4.8306,0.0005
