aperture_angle (mrad),resolution (nm)

0.5,9.30176

0.5102,8.78906

0.52041,8.78906

0.53061,8.42285

0.54082,8.42285

0.55102,8.00781

0.56122,8.00781

0.57143,8.00781

0.58163,7.69043

0.59184,7.69043

0.60204,7.34863

0.61224,7.34863

0.62245,7.34863

0.63265,7.08008

0.64286,7.08008

0.65306,6.78711

0.66327,6.78711

0.67347,6.78711

0.68367,6.55518

0.69388,6.55518

0.70408,6.31104

0.71429,6.31104

0.72449,6.31104

0.73469,6.10352

0.7449,6.10352

0.7551,5.88379

0.76531,5.88379

0.77551,5.88379

0.78571,5.71289

0.79592,5.71289

0.80612,5.52979

0.81633,5.52979

0.82653,5.35889

0.83673,5.35889

0.84694,5.35889

0.85714,5.2002

0.86735,5.2002

0.87755,5.06592

0.88776,5.06592

0.89796,5.06592

0.90816,4.90723

0.91837,4.90723

0.92857,4.78516

0.93878,4.78516

0.94898,4.78516

0.95918,4.66309

0.96939,4.66309

0.97959,4.54102

0.9898,4.54102

1.0,4.54102

1.0102,4.41895

1.02041,4.41895

1.03061,4.32129

1.04082,4.32129

1.05102,4.32129

1.06122,4.22363

1.07143,4.22363

1.08163,4.12598

1.09184,4.12598

1.10204,4.02832

1.11224,4.02832

1.12245,4.02832

1.13265,3.94287

1.14286,3.94287

1.15306,3.85742

1.16327,3.85742

1.17347,3.85742

1.18367,3.78418

1.19388,3.78418

1.20408,3.71094

1.21429,3.71094

1.22449,3.71094

1.23469,3.62549

1.2449,3.62549

1.2551,3.55225

1.26531,3.55225

1.27551,3.55225

1.28571,3.49121

1.29592,3.49121

1.30612,3.41797

1.31633,3.41797

1.32653,3.36914

1.33673,3.36914

1.34694,3.36914

1.35714,3.30811

1.36735,3.30811

1.37755,3.24707

1.38776,3.24707

1.39796,3.24707

1.40816,3.19824

1.41837,3.19824

1.42857,3.13721

1.43878,3.13721

1.44898,3.13721

1.45918,3.08838

1.46939,3.08838

1.47959,3.02734

1.4898,3.02734

1.5,3.02734

aperture_angle (mrad),resolution (nm)
1.5,3.02734
1.5102,2.99072
1.52041,2.99072
1.53061,2.94189
1.54082,2.94189
1.55102,2.94189
1.56122,2.90527
1.57143,2.90527
1.58163,2.85645
1.59184,2.85645
1.60204,2.81982
1.61224,2.81982
1.62245,2.81982
1.63265,2.7832
1.64286,2.7832
1.65306,2.74658
1.66327,2.74658
1.67347,2.74658
1.68367,2.69775
1.69388,2.69775
1.70408,2.66113
1.71429,2.66113
1.72449,2.66113
1.73469,2.63672
1.7449,2.63672
1.7551,2.6001
1.76531,2.6001
1.77551,2.6001
1.78571,2.56348
1.79592,2.56348
1.80612,2.55127
1.81633,2.55127
1.82653,2.55127
1.83673,2.51465
1.84694,2.51465
1.85714,2.49023
1.86735,2.49023
1.87755,2.45361
1.88776,2.45361
1.89796,2.45361
1.90816,2.44141
1.91837,2.44141
1.92857,2.41699
1.93878,2.41699
1.94898,2.41699
1.95918,2.39258
1.96939,2.39258
1.97959,2.36816
1.9898,2.36816
2.0,2.36816
aperture_angle (mrad),resolution (nm)
2.0,2.36816
2.0102,2.35596
2.02041,2.35596
2.03061,2.34375
2.04082,2.34375
2.05102,2.34375
2.06122,2.33154
2.07143,2.33154
2.08163,2.30713
2.09184,2.30713
2.10204,2.30713
2.11224,2.29492
2.12245,2.29492
2.13265,2.28271
2.14286,2.28271
2.15306,2.27051
2.16327,2.27051
2.17347,2.27051
2.18367,2.27051
2.19388,2.27051
2.20408,2.2583
2.21429,2.2583
2.22449,2.2583
2.23469,2.24609
2.2449,2.24609
2.2551,2.24609
2.26531,2.24609
2.27551,2.24609
2.28571,2.24609
2.29592,2.24609
2.30612,2.23389
2.31633,2.23389
2.32653,2.23389
2.33673,2.23389
2.34694,2.23389
2.35714,2.24609
2.36735,2.24609
2.37755,2.23389
2.38776,2.23389
2.39796,2.23389
2.40816,2.24609
2.41837,2.24609
2.42857,2.2583
2.43878,2.2583
2.44898,2.2583
2.45918,2.2583
2.46939,2.2583
2.47959,2.27051
2.4898,2.27051
2.5,2.27051
aperture_angle (mrad),resolution (nm)
4.0,2.49023
4.02041,2.49023
4.04082,2.49023
4.06122,2.49023
4.08163,2.49023
4.10204,2.49023
4.12245,2.49023
4.14286,2.49023
4.16327,2.49023
4.18367,2.49023
4.20408,2.49023
4.22449,2.49023
4.2449,2.49023
4.26531,2.49023
4.28571,2.49023
4.30612,2.49023
4.32653,2.49023
4.34694,2.49023
4.36735,2.49023
4.38776,2.49023
4.40816,2.49023
4.42857,2.49023
4.44898,2.49023
4.46939,2.49023
4.4898,2.49023
4.5102,2.49023
4.53061,2.49023
4.55102,2.49023
4.57143,2.49023
4.59184,2.49023
4.61224,2.49023
4.63265,2.49023
4.65306,2.49023
4.67347,2.49023
4.69388,2.49023
4.71429,2.49023
4.73469,2.49023
4.7551,2.49023
4.77551,2.49023
4.79592,2.49023
4.81633,2.49023
4.83673,2.49023
4.85714,2.49023
4.87755,2.49023
4.89796,2.49023
4.91837,2.49023
4.93878,2.49023
4.95918,2.49023
4.97959,2.49023
5.0,2.49023
